url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,accords_list,accords_weighted,perfil_texto,cluster
https://www.fragrantica.com/perfume/xerjoff/accento-overdose-pride-edition-74630.html,accento overdose pride edition,xerjoff,Italy,unisex,"1,42",201,2022,fruity notes  aldehydes  green notes,bulgarian rose  egyptian jasmine  lily of the valley,eucalyptus  pine,rose,woody,fruity,aromatic,floral,"['rose', 'woody', 'fruity', 'aromatic', 'floral']",rose rose rose rose rose woody woody woody woody fruity fruity fruity aromatic aromatic floral,perfume: accento overdose pride edition. brand: xerjoff. gender: unisex. country: Italy. year: 2022. top notes: fruity notes  aldehydes  green notes. middle notes: bulgarian rose  egyptian jasmine  lily of the valley. base notes: eucalyptus  pine. main accords: rose rose rose rose rose woody woody woody woody fruity fruity fruity aromatic aromatic floral.,4
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2024-90394.html,classique pride 2024,jean paul gaultier,France,women,"1,86",70,2024,yuzu  citruses,orange blossom  neroli,musk  blonde woods,citrus,white floral,sweet,fresh,musky,"['citrus', 'white floral', 'sweet', 'fresh', 'musky']",citrus citrus citrus citrus citrus white floral white floral white floral white floral sweet sweet sweet fresh fresh musky,perfume: classique pride 2024. brand: jean paul gaultier. gender: women. country: France. year: 2024. top notes: yuzu  citruses. middle notes: orange blossom  neroli. base notes: musk  blonde woods. main accords: citrus citrus citrus citrus citrus white floral white floral white floral white floral sweet sweet sweet fresh fresh musky.,2
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2023-81775.html,classique pride 2023,jean paul gaultier,France,unisex,"1,91",285,2023,blood orange  yuzu,neroli  orange blossom,musk  white woods,citrus,white floral,sweet,fresh spicy,musky,"['citrus', 'white floral', 'sweet', 'fresh spicy', 'musky']",citrus citrus citrus citrus citrus white floral white floral white floral white floral sweet sweet sweet fresh spicy fresh spicy musky,perfume: classique pride 2023. brand: jean paul gaultier. gender: unisex. country: France. year: 2023. top notes: blood orange  yuzu. middle notes: neroli  orange blossom. base notes: musk  white woods. main accords: citrus citrus citrus citrus citrus white floral white floral white floral white floral sweet sweet sweet fresh spicy fresh spicy musky.,2
https://www.fragrantica.com/perfume/bruno-banani/pride-edition-man-55514.html,pride edition man,bruno banani,Germany,men,"1,92",59,2019,guarana  grapefruit  red apple,walnut  lavender  guava,vetiver  benzoin  amber,fruity,nutty,woody,tropical,,"['fruity', 'nutty', 'woody', 'tropical']",fruity fruity fruity fruity fruity nutty nutty nutty nutty woody woody woody tropical tropical,perfume: pride edition man. brand: bruno banani. gender: men. country: Germany. year: 2019. top notes: guarana  grapefruit  red apple. middle notes: walnut  lavender  guava. base notes: vetiver  benzoin  amber. main accords: fruity fruity fruity fruity fruity nutty nutty nutty nutty woody woody woody tropical tropical.,4
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html,le male pride collector,jean paul gaultier,France,men,"1,93",632,2020,mint  lavender  cardamom  artemisia  bergamot,caraway  cinnamon  orange blossom,vanilla  sandalwood  amber  cedar  tonka bean,aromatic,warm spicy,fresh spicy,cinnamon,vanilla,"['aromatic', 'warm spicy', 'fresh spicy', 'cinnamon', 'vanilla']",aromatic aromatic aromatic aromatic aromatic warm spicy warm spicy warm spicy warm spicy fresh spicy fresh spicy fresh spicy cinnamon cinnamon vanilla,perfume: le male pride collector. brand: jean paul gaultier. gender: men. country: France. year: 2020. top notes: mint  lavender  cardamom  artemisia  bergamot. middle notes: caraway  cinnamon  orange blossom. base notes: vanilla  sandalwood  amber  cedar  tonka bean. main accords: aromatic aromatic aromatic aromatic aromatic warm spicy warm spicy warm spicy warm spicy fresh spicy fresh spicy fresh spicy cinnamon cinnamon vanilla.,0
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html,le male pride 2023,jean paul gaultier,France,men,"1,95",531,2023,yuzu  blood orange,neroli  orange blossom,musk  white woods,citrus,white floral,sweet,fresh spicy,green,"['citrus', 'white floral', 'sweet', 'fresh spicy', 'green']",citrus citrus citrus citrus citrus white floral white floral white floral white floral sweet sweet sweet fresh spicy fresh spicy green,perfume: le male pride 2023. brand: jean paul gaultier. gender: men. country: France. year: 2023. top notes: yuzu  blood orange. middle notes: neroli  orange blossom. base notes: musk  white woods. main accords: citrus citrus citrus citrus citrus white floral white floral white floral white floral sweet sweet sweet fresh spicy fresh spicy green.,2
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html,le male pride 2024,jean paul gaultier,France,men,"1,95",285,2024,citruses  yuzu,neroli  orange blossom,woodsy notes  musk,white floral,citrus,fresh,soapy,,"['white floral', 'citrus', 'fresh', 'soapy']",white floral white floral white floral white floral white floral citrus citrus citrus citrus fresh fresh fresh soapy soapy,perfume: le male pride 2024. brand: jean paul gaultier. gender: men. country: France. year: 2024. top notes: citruses  yuzu. middle notes: neroli  orange blossom. base notes: woodsy notes  musk. main accords: white floral white floral white floral white floral white floral citrus citrus citrus citrus fresh fresh fresh soapy soapy.,2
https://www.fragrantica.com/perfume/ralph-lauren/polo-red-pride-edition-62728.html,polo red pride edition,ralph lauren,USA,men,"2,05",107,2020,cranberry  pink grapefruit  citron,clary sage  lavender  saffron,amberwood  brazilian redwood  coffee,woody,amber,citrus,warm spicy,aromatic,"['woody', 'amber', 'citrus', 'warm spicy', 'aromatic']",woody woody woody woody woody amber amber amber amber citrus citrus citrus warm spicy warm spicy aromatic,perfume: polo red pride edition. brand: ralph lauren. gender: men. country: USA. year: 2020. top notes: cranberry  pink grapefruit  citron. middle notes: clary sage  lavender  saffron. base notes: amberwood  brazilian redwood  coffee. main accords: woody woody woody woody woody amber amber amber amber citrus citrus citrus warm spicy warm spicy aromatic.,0
https://www.fragrantica.com/perfume/ralph-lauren/ralph-pride-edition-62727.html,ralph pride edition,ralph lauren,USA,women,"2,12",50,2020,tangerine  green apple  freesia,magnolia  lime (linden blossom)  osmanthus,musk  white iris,citrus,fruity,floral,sweet,green,"['citrus', 'fruity', 'floral', 'sweet', 'green']",citrus citrus citrus citrus citrus fruity fruity fruity fruity floral floral floral sweet sweet green,perfume: ralph pride edition. brand: ralph lauren. gender: women. country: USA. year: 2020. top notes: tangerine  green apple  freesia. middle notes: magnolia  lime (linden blossom)  osmanthus. base notes: musk  white iris. main accords: citrus citrus citrus citrus citrus fruity fruity fruity fruity floral floral floral sweet sweet green.,4
https://www.fragrantica.com/perfume/we-pink/waffle-93845.html,waffle,we pink,Brazil,women,"2,41",27,2023,strawberry  almond  raspberry,butter  peach blossom  violet,praline  vanilla  musk,powdery,musky,violet,fruity,fresh,"['powdery', 'musky', 'violet', 'fruity', 'fresh']",powdery powdery powdery powdery powdery musky musky musky musky violet violet violet fruity fruity fresh,perfume: waffle. brand: we pink. gender: women. country: Brazil. year: 2023. top notes: strawberry  almond  raspberry. middle notes: butter  peach blossom  violet. base notes: praline  vanilla  musk. main accords: powdery powdery powdery powdery powdery musky musky musky musky violet violet violet fruity fruity fresh.,3
