url,nombre,descripcion,marca,anio,genero,top_notes,middle_notes,base_notes,accords,rating,votes,error
https://www.fragrantica.com/perfume/Natura/Essencial-Sentir-98848.html,Essencial Sentir Natura for men,"Essencial Sentir by Natura is a Woody Aromatic fragrance for men. This is a new fragrance. Essencial Sentir was launched in 2024. The nose behind this fragrance is Verônica Kato. The fragrance features Bergamot, Patchouli, Spiked Pepper, Lavender and Sandalwood.",Natura,2024,men,,,,woody | citrus | patchouli | fresh spicy | lavender | aromatic | warm spicy | powdery | balsamic | earthy,1.1,1450,
https://www.fragrantica.com/perfume/Natura/Homem-Essence-40309.html,www.fragrantica.com,,,,,,,,,,,
https://www.fragrantica.com/perfume/Natura/Essencial-Unico-72417.html,Essencial Único Natura for men,"Essencial Único by Natura is a Woody fragrance for men. Essencial Único was launched in 2022. Essencial Único was created by Verônica Kato and Antoine Maisondieu. Top notes are Nutmeg, Ishpink, Ocotea Quixos, Saffron, Pink Pepper and Pomelo; middle notes are Copaiba balm, Vetiver, Cedar and Freesia; base notes are Amber, Myrrh, Vanilla, Benzoin, Coumarin, Opoponax, Labdanum and Musk.",Natura,2022,men,"Nutmeg, Ishpink, Ocotea Quixos, Saffron, Pink Pepper and Pomelo","Copaiba balm, Vetiver, Cedar and Freesia","Amber, Myrrh, Vanilla, Benzoin, Coumarin, Opoponax, Labdanum and Musk",amber | woody | warm spicy | balsamic | vanilla | sweet | aromatic | fresh spicy | powdery,1.1,1497,
https://www.fragrantica.com/perfume/Natura/Homem-Sagaz-48965.html,Homem Sagaz Natura for men,"Homem Sagaz by Natura is a Aromatic Spicy fragrance for men. Homem Sagaz was launched in 2017. Homem Sagaz was created by Verônica Kato and Antoine Maisondieu. Top notes are Green Mandarin, Sage, Lemon Balm and Cypress; middle notes are Plum, Black Pepper and Nutmeg; base notes are Amber, Sandalwood, Vanilla, Tonka Bean and Cedar.",Natura,2017,men,"Green Mandarin, Sage, Lemon Balm and Cypress","Plum, Black Pepper and Nutmeg","Amber, Sandalwood, Vanilla, Tonka Bean and Cedar",fresh spicy | fruity | woody | amber | sweet | vanilla | aromatic | powdery | citrus | warm spicy,1.3,1899,
https://www.fragrantica.com/perfume/Natura/Essencial-Oud-52563.html,Essencial Oud Natura for men,"Essencial Oud by Natura is a Woody fragrance for men. Essencial Oud was launched in 2017. Essencial Oud was created by Verônica Kato and Pierre-Constantin Guéros. Top notes are Cardamom, Saffron, Bergamot and elemi; middle notes are Cinnamon, Praline, Geranium, Cypriol Oil or Nagarmotha and Gurjan balsam; base notes are Agarwood (Oud), Copaiba balm, Sandalwood, Patchouli, Cedar, Amber, Musk, Cashmeran, Ambrocenide and Fir.",Natura,2017,men,"Cardamom, Saffron, Bergamot and elemi","Cinnamon, Praline, Geranium, Cypriol Oil or Nagarmotha and Gurjan balsam","Agarwood (Oud), Copaiba balm, Sandalwood, Patchouli, Cedar, Amber, Musk, Cashmeran, Ambrocenide and Fir",warm spicy | woody | oud | cinnamon | sweet | balsamic | aromatic | fresh spicy | powdery | amber,1.2,2219,
https://www.fragrantica.com/perfume/Natura/Essencial-Sentir-98845.html,Essencial Sentir Natura for women,,,,,,,,white floral | tuberose | fruity | sweet,,,
https://www.fragrantica.com/perfume/Natura/Ilia-Completa-83524.html,Ilía Completa Natura for women,,,,,,,,floral | citrus | white floral | rose | musky | powdery | woody | fresh,,,
https://www.fragrantica.com/perfume/Natura/Ilia-Secreto-48977.html,Ilía Secreto Natura for women,"Ilía Secreto by Natura is a Floral Fruity Gourmand fragrance for women. Ilía Secreto was launched in 2018. The nose behind this fragrance is Verônica Kato. Top notes are Grapes, Plum, Pear and Mandarin Orange; middle notes are Jasmine, Orchid, Freesia and Lily-of-the-Valley; base notes are Tonka Bean, Coffee, Sandalwood, Cedar and Ishpink, Ocotea Quixos.",Natura,2018,women,"Grapes, Plum, Pear and Mandarin Orange","Jasmine, Orchid, Freesia and Lily-of-the-Valley","Tonka Bean, Coffee, Sandalwood, Cedar and Ishpink, Ocotea Quixos",fruity | sweet | warm spicy | woody | white floral | coffee | floral | vanilla | amber,1.1,2088,
https://www.fragrantica.com/perfume/Natura/Ryo-Chuva-95475.html,Ryo Chuva Natura for women and men,"Ryo Chuva by Natura is a Aromatic Aquatic fragrance for women and men. This is a new fragrance. Ryo Chuva was launched in 2024. Ryo Chuva was created by Verônica Kato, Yves Cassar and Natasha Côté. Top notes are River Notes, Rain Notes and Mandarin; middle notes are Violet Leaf, Jasmine Sambac and Rose; base notes are Musk, Vetiver, Copahu Balm and Breu-Branco.",Natura,2024,women and men,"River Notes, Rain Notes and Mandarin","Violet Leaf, Jasmine Sambac and Rose","Musk, Vetiver, Copahu Balm and Breu-Branco",aquatic | ozonic | citrus | musky | amber | white floral | woody | aromatic | green | earthy,4.19,551,
https://www.fragrantica.com/perfume/Natura/Una-Blush-57188.html,Una Blush Natura for women,"Una Blush by Natura is a Floral fragrance for women. Una Blush was launched in 2019. Una Blush was created by Verônica Kato and Antoine Maisondieu. Top notes are Citruses, Ginger and Bergamot; middle notes are Orange Blossom, Breu-Branco and Lily-of-the-Valley; base notes are Vanila, Amber and Sandalowood.",Natura,2019,women,"Citruses, Ginger and Bergamot","Orange Blossom, Breu-Branco and Lily-of-the-Valley","Vanila, Amber and Sandalowood",citrus | white floral | vanilla | fresh | fresh spicy | powdery | sweet | amber | woody,4.34,1168,
